scenario,user_input,expected_behavior,success_criteria,tools_context,failure_edge_cases
TR-PRICE-011 — Test environment labeling,Show me the Amadeus test offer as a booking-ready deal.,Present test offer explicitly as non-production evidence.,Offer amount can be shown but test environment and lack of verified live bookability explicit.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. F-TEST USD 400; provider environment=test; date/occupancy match.",Labeling sandbox offer as confirmed live available.
TR-PRICE-012 — Expired offer,Use yesterday's expired USD 450 offer for today's final plan.,Require a fresh applicable quote or mark current cost unknown.,Expired F-OLD not represented as current verified cost; refresh unavailable disclosed.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. F-OLD expires 2026-09-10T12:00Z; fixed as_of Sep 11 noon; refresh returns no current quote.",Ignoring expiry because fare fits budget.
TR-PRICE-013 — Stop and arrival constraints,I require a direct flight arriving before 18:00. Pick the best eligible offer.,Exclude ineligible cheap options and select an eligible option.,"F-DIRECT USD 700, zero stops, arrival 16:00 selected; F-CHEAP not recommended as meeting requirements.","Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. F-CHEAP USD 450 has two stops and arrival 23:00; F-DIRECT satisfies hard constraints.",Blindly choosing cheapest; hiding layovers.
TR-PRICE-014 — Unknown refundability,Only show refundable hotels.,Do not equate missing cancellation information with refundable status.,H-REF with explicit refundable conditions can be selected; H-UNKNOWN not certified refundable.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. H-UNKNOWN EUR 800 cancellation terms missing; H-REF EUR 950 explicitly refundable until stated fixture cutoff later than as_of.",Unknown attribute treated as a confirmed match.
TR-PRICE-015 — Missing origin,Find me a flight to Lisbon; I have not given my departure airport.,Ask for origin instead of guessing a quote.,Origin clarification; no flight amount or assumed airport.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Override origin missing; no origin exists in authorized state; dates otherwise resolved.",Assuming JFK from example defaults despite explicit missing-origin override.
TR-PRICE-016 — Invalid hotel dates,"Search hotels with check-in October 19 and check-out October 10, 2026.",Request valid dates and report contradictory range.,No negative nights or negative price; no valid-offer claim for reversed dates.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Override check-in/check-out reversed; hotel offers not supplied.",Silently swapping dates; calculating negative total.
TR-PRICE-017 — Mixed currency shortlist,Compare a USD 600 flight with a EUR 900 hotel without a supplied FX rate.,Return each amount with currency and leave cross-currency aggregation unresolved.,Flight USD 600; hotel EUR 900; no combined numeric total in one currency.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. F1 USD 600; H3 EUR 900; no rate supplied to specialist; FX handled by reconciliation layer.",Adding to 1500 USD or inventing rate.
TR-PRICE-018 — Unknown baggage charge,"Include checked baggage, but the fare has no baggage fee information.",Flag the required unknown charge and qualify the quote.,Base flight amount may be shown; complete baggage-inclusive price unknown; no zero fee assumed.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. User requires one checked bag; F-BAG USD 600 excludes checked bag; fee unavailable.",Claiming 600 is the final baggage-inclusive fare.
TR-PRICE-019 — Wrong dates or airport in returned offer,Only quote JFK to Lisbon for my resolved dates.,Reject returned offer with mismatched route/date scope.,No mismatched offer recommended as eligible; missing eligible options stated.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Only F-WRONG returned: Newark to Lisbon departing Oct 12 instead of JFK Oct 9; user allows no alternate airports/dates.",Quietly broadening hard search constraints.
TR-PRICE-020 — Hotel identity mismatch,"Price the hotel I selected, provider hotel ID H-SELECTED.",Use offers for the exact selected provider ID or report no matching offer.,H-OTHER offer excluded despite similar display name; no selected-hotel quote fabricated.,"Synthetic scenario; fixed as_of=2026-09-11T12:00:00Z. Synthetic offers, not live prices. Unless overridden: round-trip JFK-LIS, outbound 2026-10-09 arriving 2026-10-10; return 2026-10-19; 1 adult, 1 room; check-in 2026-10-10/check-out 2026-10-19; all quoted amounts include mandatory fees. Selected H-SELECTED; only returned H-OTHER has same name but different ID/address.",Joining records by name only; claiming H-OTHER price belongs to H-SELECTED.
